wellDepthFt,precip48hIn,soilMoisturePct,slopePct,usgsBaselineMgL,nitrateMgL
840.0,1.05,30.4,8.7,7.8,6.33
840.0,0.72,33.4,10.0,7.6,5.45
442.0,0.29,25.4,3.2,5.9,5.21
442.0,0.27,31.6,2.5,6.2,6.04
270.0,1.54,33.0,1.2,8.9,7.05
270.0,0.47,35.2,1.8,8.7,5.39
880.0,0.18,12.2,2.9,8.5,3.65
880.0,0.1,20.5,2.5,6.4,3.19
1233.0,0.03,13.2,3.0,6.0,2.75
1233.0,0.38,26.7,3.8,5.7,2.55
358.0,2.29,35.1,3.0,6.5,7.01
358.0,2.1,37.5,1.5,7.9,6.6
165.0,3.18,50.0,3.0,5.5,12.82
165.0,0.3,41.2,2.5,6.8,7.24
450.0,0.07,19.4,4.4,8.8,4.28
450.0,0.63,24.6,2.0,5.9,3.27
200.0,0.28,22.7,2.1,7.8,4.35
200.0,1.63,35.2,2.3,10.6,9.07
400.0,0.5,27.9,2.9,4.2,2.73
400.0,0.59,25.4,1.4,6.9,3.93
140.0,1.04,21.1,2.6,8.6,6.41
140.0,0.09,22.7,4.3,7.3,4.75
116.0,1.99,33.2,9.8,4.4,14.88
116.0,0.82,31.7,4.8,6.9,11.51
247.0,0.02,20.2,1.5,8.2,4.39
247.0,0.18,20.4,3.2,6.8,3.4
56.0,0.09,25.1,6.9,9.4,8.63
56.0,0.0,22.9,6.3,5.0,6.62
500.0,1.01,22.3,4.2,9.3,4.62
500.0,0.78,22.8,3.8,7.5,3.54
49.0,0.05,26.4,3.4,6.8,7.25
49.0,0.15,15.0,5.8,7.1,7.11
22.0,0.0,21.4,3.8,8.5,7.72
22.0,0.1,17.4,3.5,6.3,7.69
34.0,1.83,44.8,2.7,7.3,19.96
34.0,1.75,31.2,3.0,9.7,16.81
150.0,1.46,37.3,6.0,8.1,14.84
150.0,2.52,37.2,8.9,7.5,15.17
230.0,0.62,22.9,0.8,11.4,5.08
230.0,0.06,22.6,3.4,6.6,4.46
112.0,1.74,29.6,2.8,7.3,9.23
112.0,1.84,36.1,5.2,8.0,12.26
662.0,0.81,27.7,1.8,8.1,4.45
662.0,0.89,37.6,1.2,4.3,3.71
55.0,0.06,23.9,4.1,10.2,6.85
55.0,0.05,20.8,4.8,10.6,7.75
568.0,0.34,35.5,1.5,10.1,4.53
568.0,1.29,36.3,2.1,11.4,6.49
585.0,0.99,36.3,3.7,7.4,5.07
585.0,0.37,39.4,4.5,7.3,4.78
359.0,0.67,19.6,2.5,7.6,4.62
359.0,0.0,18.9,2.0,6.6,3.57
57.5,0.74,31.5,4.3,5.7,9.73
57.5,0.91,17.3,3.5,5.0,7.6
90.0,0.78,29.8,4.0,6.4,8.02
90.0,0.66,19.4,2.9,8.9,7.09
345.0,0.94,32.9,3.6,7.4,5.71
345.0,4.26,42.0,1.6,5.0,8.94
278.0,0.4,18.5,3.4,7.2,3.43
278.0,0.61,25.1,4.7,9.6,5.51
197.0,1.75,40.4,2.8,4.6,7.38
197.0,0.98,25.8,1.7,10.0,6.41
550.0,0.65,35.8,2.6,7.8,4.33
550.0,3.17,28.8,3.2,5.7,5.23
172.0,0.57,33.9,3.1,7.4,6.37
172.0,0.83,25.4,2.6,10.5,7.35
30.0,1.07,40.9,4.8,5.7,17.0
30.0,0.75,26.4,0.5,7.9,9.67
776.0,0.03,25.7,3.8,9.9,4.46
776.0,0.0,23.5,2.4,5.2,2.5
268.0,0.5,12.0,2.5,5.6,3.68
268.0,0.55,29.6,2.5,7.8,5.04
